CICLO,ENTE,RAMO,SUBRAMO,PROGRAMA,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,TOTAL,Devengado,4635636454.83,924223563.23,4527465.92,36241931.22,5600629415.2,0.0,65123590.4,0.0,0.0,65123590.4,5665753005.6,98.85057484264435,0.0,1.149425157355645
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,TOTAL,Ejercido,4635636454.83,924223563.23,4527465.92,36241931.22,5600629415.2,0.0,65123590.4,0.0,0.0,65123590.4,5665753005.6,98.85057484264435,0.0,1.149425157355645
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,TOTAL,Porcentaje Ejer/Aprob,95.87975366220378,101.87956627576997,116.7356751807644,104.88760684964082,96.8891914427501,0.0,0.0,0.0,0.0,0.0,97.90173250349332,,0.0,
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,TOTAL,Porcentaje Ejer/Modif,98.7236281018786,93.78943098366959,100.0,87.52327759665981,97.79463365818478,0.0,99.66164328740406,0.0,0.0,99.66164328740406,97.81569605361196,,0.0,
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,R001,Otras Actividades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,R001,Aprobado,4834843935.0,907172652.0,3878391.0,34553111.0,5780448089.0,0.0,6735509.0,0.0,0.0,6735509.0,5787183598.0,99.88361335205734,0.0,0.1163866479426665
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,R001,Modificado,4695569382.89,985424000.91,4527465.92,41408334.12,5726929183.84,0.0,65344688.54,0.0,0.0,65344688.54,5792273872.38,98.87186466006742,0.0,1.1281353399325778
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,R001,Devengado,4635636454.83,924223563.23,4527465.92,36241931.22,5600629415.2,0.0,65123590.4,0.0,0.0,65123590.4,5665753005.6,98.85057484264435,0.0,1.149425157355645
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,R001,Ejercido,4635636454.83,924223563.23,4527465.92,36241931.22,5600629415.2,0.0,65123590.4,0.0,0.0,65123590.4,5665753005.6,98.85057484264435,0.0,1.149425157355645
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,R001,Porcentaje Ejer/Aprob,95.87975366220378,101.87956627576997,116.7356751807644,104.88760684964082,96.8891914427501,0.0,0.0,0.0,0.0,0.0,97.90173250349332,,0.0,
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,R001,Porcentaje Ejer/Modif,98.7236281018786,93.78943098366959,100.0,87.52327759665981,97.79463365818478,0.0,99.66164328740406,0.0,0.0,99.66164328740406,97.81569605361196,,0.0,
