CICLO,ENTE,RAMO,PROGRAMA,DESCRIPCIÓN,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E002,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas centrales,Modificado,19800362.35,107000.0,,,19907362.35,,,,,,19907362.35,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E002,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas centrales,Devengado,19800362.35,34882.55,,,19835244.900000002,,,,,,19835244.900000002,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E002,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas centrales,Ejercicio,19800362.35,34882.55,,,19835244.900000002,,,,,,19835244.900000002,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E003,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas foráneas y atender asuntos relacionados con las personas migrantes,Aprobado,42673370.0,11886039.0,,362999.0,54922408.0,,273100.0,,,273100.0,55195508.0,99.50521335902914,,0.49478664097085584
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E003,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas foráneas y atender asuntos relacionados con las personas migrantes,Modificado,45027291.220000006,13165803.96,,376763.83,58569859.010000005,,166613.65,,,166613.65,58736472.660000004,99.71633698372653,,0.2836630162734733
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E003,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas foráneas y atender asuntos relacionados con las personas migrantes,Devengado,44959095.38999999,13165803.96,,376763.83,58501663.17999999,,166613.65,,,166613.65,58668276.82999999,99.71600725468248,,0.2839927453175209
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E003,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas foráneas y atender asuntos relacionados con las personas migrantes,Ejercicio,44959095.38999999,13165803.96,,376763.83,58501663.17999999,,166613.65,,,166613.65,58668276.82999999,99.71600725468248,,0.2839927453175209
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E004,"Solucionar expedientes de presuntas violaciones a los Derechos Humanos: Quejas, Orientaciones Directas y Remisiones",Aprobado,387957406.0,19708600.0,,549037.0,408215043.0,,,,,,408215043.0,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E004,"Solucionar expedientes de presuntas violaciones a los Derechos Humanos: Quejas, Orientaciones Directas y Remisiones",Modificado,389290178.8599998,16683796.03,,348326.29000000004,406322301.17999977,,,,,,406322301.17999977,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E004,"Solucionar expedientes de presuntas violaciones a los Derechos Humanos: Quejas, Orientaciones Directas y Remisiones",Devengado,389012709.34999985,14877992.089999998,,271742.66000000003,404162444.09999985,,,,,,404162444.09999985,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E004,"Solucionar expedientes de presuntas violaciones a los Derechos Humanos: Quejas, Orientaciones Directas y Remisiones",Ejercicio,389012709.34999985,14877992.089999998,,271742.66000000003,404162444.09999985,,,,,,404162444.09999985,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E005,Solucionar inconformidades por la actuación de organismos y autoridades de las entidades federativas,Aprobado,22369778.0,1055244.0,,16577.0,23441599.0,,,,,,23441599.0,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E005,Solucionar inconformidades por la actuación de organismos y autoridades de las entidades federativas,Modificado,19236998.640000004,385927.3,,2035.0,19624960.940000005,,,,,,19624960.940000005,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E005,Solucionar inconformidades por la actuación de organismos y autoridades de las entidades federativas,Devengado,19236998.640000004,103056.31,,1035.0,19341089.950000003,,,,,,19341089.950000003,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E005,Solucionar inconformidades por la actuación de organismos y autoridades de las entidades federativas,Ejercicio,19236998.640000004,103056.31,,1035.0,19341089.950000003,,,,,,19341089.950000003,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E006,Atender asuntos relacionados con víctimas del delito,Aprobado,15710262.0,1068835.0,,134227.0,16913324.0,,,,,,16913324.0,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E006,Atender asuntos relacionados con víctimas del delito,Modificado,15478331.729999999,1451740.9100000001,,59970.72,16990043.36,,,,,,16990043.36,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E006,Atender asuntos relacionados con víctimas del delito,Devengado,15478331.729999999,1451740.9100000001,,59970.72,16990043.36,,,,,,16990043.36,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E006,Atender asuntos relacionados con víctimas del delito,Ejercicio,15478331.729999999,1451740.9100000001,,59970.72,16990043.36,,,,,,16990043.36,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E007,"Atender asuntos relacionados con personas reportadas como desaparecidas, extraviadas, ausentes, fallecidas no identificadas y víctimas de secuestro",Aprobado,12495485.0,330977.0,,23205.0,12849667.0,,,,,,12849667.0,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E007,"Atender asuntos relacionados con personas reportadas como desaparecidas, extraviadas, ausentes, fallecidas no identificadas y víctimas de secuestro",Modificado,11527847.1,1627706.55,,20638.0,13176191.65,,,,,,13176191.65,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E007,"Atender asuntos relacionados con personas reportadas como desaparecidas, extraviadas, ausentes, fallecidas no identificadas y víctimas de secuestro",Devengado,11527847.1,1627706.55,,20638.0,13176191.65,,,,,,13176191.65,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E007,"Atender asuntos relacionados con personas reportadas como desaparecidas, extraviadas, ausentes, fallecidas no identificadas y víctimas de secuestro",Ejercicio,11527847.1,1627706.55,,20638.0,13176191.65,,,,,,13176191.65,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E008,"Realizar visitas de supervisión a lugares de detención en ejercicio de las facultades del Mecanismo Nacional de Prevención de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",Aprobado,14864727.0,1614934.0,,14300.0,16493961.0,,,,,,16493961.0,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E008,"Realizar visitas de supervisión a lugares de detención en ejercicio de las facultades del Mecanismo Nacional de Prevención de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",Modificado,16905695.450000003,1297241.0,,30657.0,18233593.450000003,,,,,,18233593.450000003,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E008,"Realizar visitas de supervisión a lugares de detención en ejercicio de las facultades del Mecanismo Nacional de Prevención de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",Devengado,16905695.45,993835.6,,5542.0,17905073.05,,,,,,17905073.05,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E008,"Realizar visitas de supervisión a lugares de detención en ejercicio de las facultades del Mecanismo Nacional de Prevención de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",Ejercicio,16905695.45,993835.6,,5542.0,17905073.05,,,,,,17905073.05,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E009,"Gestionar asuntos sobre beneficios de libertad anticipada, traslados penitenciarios y contra la pena de muerte de nacionales en el extranjero",Aprobado,1330832.0,54014.0,,,1384846.0,,,,,,1384846.0,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E009,"Gestionar asuntos sobre beneficios de libertad anticipada, traslados penitenciarios y contra la pena de muerte de nacionales en el extranjero",Modificado,988884.4299999999,13241.0,,,1002125.4299999999,,,,,,1002125.4299999999,100.0,,0.0
