CICLO,ENTE,RAMO,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Ramos Administrativos,Relaciones Exteriores,Modificado,3322197615.799999,2900500739.8500013,,1705068927.2199996,7927767282.87,,273329607.48,,,273329607.48,8201096890.35,96.66715792857391,,3.3328420714260703
2013,Ramos Administrativos,Relaciones Exteriores,Devengado,3322166930.24,2900306723.780001,,1705062552.8200002,7927536206.84,,273329607.48,,,273329607.48,8200865814.32,96.66706401898782,,3.332935981012195
2013,Ramos Administrativos,Relaciones Exteriores,Ejercicio,3322166930.2399993,2900306723.760001,,1705062552.82,7927536206.82,,273329607.48,,,273329607.48,8200865814.299999,96.66706401897969,,3.332935981020323
2013,Ramos Administrativos,Hacienda y Crédito Público,Aprobado,18536986451.0,6860668952.0,10629704000.0,950251689.0,36977611092.0,,568912913.0,142006000.0,1733206000.0,2444124913.0,39421736005.0,93.80005763142951,,6.1999423685704835
2013,Ramos Administrativos,Hacienda y Crédito Público,Modificado,17890413718.8,7801969685.960001,11078598888.540005,3334762635.5100007,40105744928.810005,,562749175.8299999,139768178.27,4700347827.4,5402865181.5,45508610110.310005,88.1278176406535,,11.872182359346494
2013,Ramos Administrativos,Hacienda y Crédito Público,Devengado,17890335789.069992,7800026680.660002,11078596633.880003,3334762635.5100007,40103721739.12,,562749175.8299999,139768178.27,4700347827.4,5402865181.5,45506586920.62,88.12728981207808,,11.872710187921932
2013,Ramos Administrativos,Hacienda y Crédito Público,Ejercicio,17890335789.069992,7800026677.250001,11078596633.880003,3334762635.5100007,40103721735.71,,562749175.8299999,139768178.27,4700347827.4,5402865181.5,45506586917.21,88.12728981118839,,11.872710188811604
2013,Ramos Administrativos,Defensa Nacional,Aprobado,46995146766.0,10946652251.0,,520679128.0,58462478145.0,,2348092541.0,,,2348092541.0,60810570686.0,96.13867701863126,,3.8613229813687395
2013,Ramos Administrativos,Defensa Nacional,Modificado,43108593845.59,10639422527.799997,,1527305206.6799998,55275321580.06999,,7771379408.350001,,,7771379408.350001,63046700988.41999,87.67361450081678,,12.326385499183214
2013,Ramos Administrativos,Defensa Nacional,Devengado,43108593845.59,10639422527.8,,1527305206.6799998,55275321580.07,,7771379408.350001,,,7771379408.350001,63046700988.42,87.67361450081678,,12.326385499183212
2013,Ramos Administrativos,Defensa Nacional,Ejercicio,43108593845.58999,10639422527.8,,1527305206.6799998,55275321580.069984,,7771379408.350001,,,7771379408.350001,63046700988.41998,87.67361450081678,,12.326385499183216
